country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,28417.38421,26966.05479,25508.30252,25469.28741,27005.52953,26979.88536,27046.76042,27428.1202,27367.281,24464.17452,23512.6026,24231.3389,23777.31605,24629.07998,24692.49718,24452.60657,24288.9871,24508.80914,
Afghanistan,AFG,,,339.6333385,352.243953,341.6124563,365.5487336,372.8967347,412.919585,418.4788158,495.1089285,550.514974,536.0124857,584.9073757,597.5252237,594.5741097,585.7082884,583.0551074,583.8696345,563.8256627
Angola,AGO,2189.560753,2208.791536,2426.431783,2412.392521,2582.646476,2866.434694,3085.424833,3394.512335,3641.447502,3544.026552,3585.905553,3580.26991,3750.209097,3799.429617,3846.240911,3751.694465,3533.86516,3413.656438,3229.61974
Albania,ALB,2244.564836,2453.557464,2572.652201,2725.096745,2887.291291,3062.592504,3263.8124,3485.227628,3775.479709,3928.342143,4094.360204,4210.077005,4276.917643,4327.608232,4413.335122,4524.467508,4683.519217,4867.632465,5075.354985
Andorra,AND,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49708.40049,48710.66462,43900.9517,41979.8659,39736.35406,38205.77109,38190.58659,39104.30185,40785.04923,41765.92035,42958.55839,43942.93819,44569.78301
Arab World,ARB,4817.939379,4794.021529,4721.509447,4867.32458,5206.299338,5380.295656,5596.932194,5713.713358,5900.808326,5784.449651,5918.315891,5992.13389,6247.112068,6303.193677,6319.937178,6393.309536,6468.113066,6405.275291,6458.734486
United Arab Emirates,ARE,62833.25107,60434.67398,58707.00717,59867.28994,60042.59735,56199.02927,53926.5971,48260.01091,43658.94478,37203.39799,35037.89267,35730.32935,36376.45368,37765.71684,39146.11209,40753.88634,41449.68142,41197.16878,40782.36811
Argentina,ARG,8182.686502,7735.493364,6816.734855,7337.792038,7913.743124,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.88539,10699.19772,10323.20694,10498.59253,10206.24955,10397.13652,10040.13074
Armenia,ARM,1404.321462,1548.075851,1761.888272,2019.984867,2244.220171,2571.985756,2933.833478,3366.162187,3629.157702,3136.811727,3218.381655,3371.672831,3606.480554,3710.575743,3827.343195,3935.288772,3932.554617,4219.368549,4406.706434
American Samoa,ASM,,,10613.91154,10630.45365,10661.17354,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9711.112717,9779.883487,9884.111866,9614.472672,9090.371432,
Antigua and Barbuda,ATG,11981.91638,11191.10252,11147.2635,11683.46246,12218.7448,12857.16429,14325.48113,15466.95293,15278.87422,13270.69711,12174.6978,11789.79905,12069.81147,11928.22729,12351.16122,12713.63189,13286.00977,13548.1575,15061.58636
Australia,AUS,44313.31823,44564.97656,45786.64281,46575.41533,47880.61166,48760.35517,49408.05274,50955.05595,51770.90715,51689.91356,51936.88871,52475.66325,53574.4588,54050.20929,54612.31183,55097.61397,55777.3462,55919.27804,56919.37428
Austria,AUT,42001.21116,42370.9316,42859.3294,43052.60307,43956.58266,44637.85641,45951.73469,47510.29379,48053.48308,46123.49069,46858.04327,48065.31671,48172.2377,47901.36543,47842.74907,47850.16763,48300.9486,49190.17341,50250.04506
Azerbaijan,AZE,1633.394435,1781.246395,1955.41315,2158.007171,2357.396026,2949.442818,3923.658154,4851.176909,5262.101356,5639.001689,5842.805784,5770.969703,5820.079847,6078.320649,6122.980489,6117.030862,5861.511962,5810.080724,5768.992405
Burundi,BDI,228.4242067,227.6041149,231.1749193,221.3986877,224.689303,219.356176,223.6383216,223.6584338,226.7443485,227.715156,231.7955369,233.7680448,236.9269316,241.3308421,244.1488627,227.5536878,219.2065851,213.4056032,210.7835697
Belgium,BEL,40170.41893,40357.37076,40892.21772,41036.79826,42344.69483,42994.36365,43782.13955,44960.79786,44956.36733,43591.27188,44380.17663,44594.30446,44422.65325,44302.48427,44659.63942,45163.84324,45604.70604,46169.06247,46683.15741
Benin,BEN,694.2437489,709.4693622,720.168277,722.6671953,732.3354225,723.1999594,730.2752556,752.2152147,767.0318188,763.154718,757.6959074,758.5775214,773.1827226,805.9671602,833.6408777,827.8354579,837.1990377,862.0184142,896.3243679
Burkina Faso,BFA,434.7633304,450.4522807,456.7341349,478.3043523,485.3074043,511.9675905,527.9623495,541.268695,563.4470651,562.8419354,575.4464527,595.3932481,615.0970843,631.6121844,639.7095507,645.3698606,664.021672,685.7539847,709.7551881
Bangladesh,BGD,509.2934347,525.0721107,535.2467234,550.8628057,570.336736,598.6174259,630.0483969,666.4014472,698.564892,725.76626,757.6717572,797.4116804,839.5136872,879.5820848,922.1609594,971.641988,1029.578212,1093.049274,1203.216265
Bulgaria,BGR,3955.275802,4186.920419,4532.853869,4804.484362,5152.414008,5561.163843,5988.770951,6476.054203,6914.398435,6709.527315,6843.26695,7019.174046,7062.134977,7136.845978,7309.415115,7611.550878,7966.882009,8331.152273,8651.094801
Bahrain,BHR,22955.09349,22416.08185,22038.3312,22058.76333,22144.47339,22066.07113,21796.01514,21838.07457,21563.65067,20797.00522,20722.10389,20514.75639,20921.19971,21799.65217,22390.68285,22436.20753,22346.4741,22148.75369,21438.59108
"Bahamas, The",BHS,31587.59103,31856.08584,32080.35346,31013.63921,30629.72917,31023.04722,31180.61512,31031.231,29758.2498,28019.14864,27979.11493,27710.10196,28145.35866,27643.39521,27246.48486,27198.9076,26439.05364,26538.94563,
Bosnia and Herzegovina,BIH,3002.820841,3131.139402,3293.140249,3421.748431,3628.515312,3946.092691,4162.13271,4412.233389,4664.528494,4545.039868,4614.829041,4701.039103,4714.379267,4882.96142,4993.109884,5190.464952,5382.801279,5569.827593,6056.244945
Belarus,BLR,2879.380069,3030.94753,3204.198984,3453.963668,3875.783061,4269.166024,4724.924542,5154.86716,5700.319385,5724.468852,6181.399916,6525.851369,6642.035132,6707.62153,6817.289219,6545.780527,6372.401795,6528.982254,6744.49867
Belize,BLZ,3837.257503,3908.519,3995.465723,4255.779646,4341.336362,4340.257434,4422.489853,4356.605466,4383.316294,4303.585556,4342.963173,4334.666441,4362.500455,4304.049258,4367.631333,4422.042725,4304.202826,4276.025804,4309.919986
Bermuda,BMU,79988.35001,84844.73838,83048.80311,85321.24327,86733.37007,87616.38597,91944.87381,94029.60803,94903.19153,89391.21118,88207.32756,86001.17117,81547.85524,79251.78166,,,,,
Bolivia,BOL,1616.546836,1613.418488,1623.526499,1637.816291,1676.23591,1720.107203,1771.955315,1821.805875,1901.908837,1933.749288,1981.170116,2051.162036,2122.394647,2231.487842,2317.268194,2392.995341,2457.637637,2522.805905,2559.511317
Brazil,BRA,8778.180189,8776.8583,8924.341711,8910.848111,9309.008148,9495.104539,9761.884071,10245.23865,10658.21857,10540.10854,11224.15408,11559.21201,11671.18562,11912.14455,11866.38601,11348.4388,10883.97406,10913.81047,11026.24216
Barbados,BRB,15277.41514,14868.04232,14943.42832,15222.62773,15389.70929,15947.87261,16788.78322,17016.24921,16965.39638,16224.03629,16203.15557,16249.67398,16238.41632,16186.76926,16139.65127,16237.90596,16518.55298,16641.52101,
Brunei Darussalam,BRN,35923.40183,36162.97793,36832.26623,37202.35794,36752.04732,36325.12073,37401.05316,36997.80726,35860.38878,34812.71469,35268.10117,36092.09698,35899.03737,34618.97291,33313.83278,32661.85702,31430.96259,31439.92372,31436.94859
Bhutan,BTN,1201.105785,1263.967767,1360.792252,1425.055174,1469.37315,1534.820745,1601.915802,1848.566255,1898.052794,1986.135618,2178.921383,2310.003655,2387.005674,2399.918916,2500.260145,2629.351266,2803.328162,2897.341762,3172.773862
Botswana,BWA,4954.77429,4891.914844,5115.899886,5280.215175,5349.002024,5512.811229,5883.899059,6270.474082,6552.776641,5948.853248,6346.156204,6610.331922,6779.393897,7409.421155,7574.282097,7308.760256,7485.04212,7523.279466,8031.014943
Central African Republic,CAF,411.9383943,421.659424,428.4774575,397.8115393,414.0304521,410.4150553,422.4389078,434.2507044,436.0739488,437.6016173,446.4436878,458.333018,475.6676415,300.4797421,302.5465308,314.9266856,325.7204657,335.0260856,384.7800008
Canada,CAN,43638.28315,43964.95459,44883.8284,45239.81139,46170.9202,47181.56239,48035.03579,48552.69643,48510.56777,46543.7922,47447.47602,48456.96457,48724.2458,49359.42247,50221.84198,50303.83685,50407.34133,51315.88897,51357.75398
Central Europe and the Baltics,CEB,8495.61426,8818.295682,9183.275426,9621.61629,10185.74889,10716.83721,11450.00932,12227.7904,12732.67367,12310.4558,12566.58767,13000.38383,13127.05932,13331.08757,13766.50778,14326.56848,14814.77181,15558.64231,16258.32578
Switzerland,CHE,67807.92681,68264.52626,67860.24483,67385.29767,68781.61259,70471.43852,72823.83726,75143.70222,75793.63304,73189.19255,74605.72102,75029.75782,74984.13712,75499.70674,76410.85666,76553.28214,76934.32049,77461.04537,78816.21505
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,
Chile,CHL,9469.110468,9666.476055,9852.833928,10141.73198,10754.3066,11249.8679,11833.95202,12285.04838,12588.69122,12268.44115,12860.17764,13518.76508,14109.14333,14551.04442,14681.33076,14893.88065,14958.56225,15059.53014,15130.15432
China,CHN,1771.741506,1905.61078,2065.718579,2258.912105,2472.586556,2738.20546,3069.304781,3487.845766,3805.025999,4142.038286,4560.512586,4971.544929,5336.060143,5721.693819,6108.238775,6496.624013,6894.464522,7329.089299,7754.962119
Cote d'Ivoire,CIV,1336.42961,1310.286472,1264.222306,1224.968341,1218.12035,1216.208471,1210.668211,1207.087189,1211.623843,1223.510617,1219.749096,1138.664957,1229.7782,1305.709227,1384.910349,1469.730178,1547.55256,1625.663515,1692.544476
Cameroon,CMR,1163.43141,1183.43807,1201.912083,1224.161026,1272.851204,1264.1544,1272.882674,1299.290928,1308.235499,1300.84144,1309.122208,1326.646015,1349.951713,1385.235437,1428.215673,1469.637741,1498.278583,1511.816393,1497.783485
"Congo, Dem. Rep.",COD,290.1676615,276.3372968,276.2548624,282.8425766,292.5419167,300.7514121,306.718142,315.4587988,324.2420517,322.6204535,334.2317025,345.4811816,357.8163687,375.4442248,397.5819796,411.2790906,407.5636692,409.1173244,418.7386231
"Congo, Rep.",COG,2364.612918,2387.848636,2430.285145,2383.359123,2395.819621,2503.312055,2573.509881,2447.511634,2496.502308,2595.748499,2737.34233,2751.91068,2782.111882,2806.347432,2922.973185,2925.527748,2771.397345,2616.606077,2651.700719
Colombia,COL,4764.743697,4775.552865,4826.415403,4946.555897,5140.598008,5312.72454,5601.707346,5912.667561,6033.593825,6037.12981,6230.738366,6619.054483,6807.743494,7049.250734,7313.213742,7461.198041,7541.22144,7611.661751,7698.412245
Comoros,COM,1294.793919,1292.748116,1291.234193,1287.357701,1281.276164,1286.613106,1289.471094,1269.005529,1288.421346,1298.007347,1315.214806,1336.433611,1346.242933,1373.369591,1369.185646,1352.126772,1350.146123,1355.506087,1362.638528
Cabo Verde,CPV,2179.984807,2185.253822,2257.316672,2310.49442,2505.172505,2639.382638,2813.185404,3202.379263,3378.646197,3300.550986,3312.825985,3405.78186,3403.03108,3389.940005,3369.642709,3362.209967,3477.059353,3571.407401,3786.734051
Costa Rica,CRI,6230.479468,6332.836893,6434.392113,6606.15651,6792.109874,6954.039222,7351.860882,7841.92586,8095.309726,7911.7952,8199.414621,8449.962612,8753.225624,8852.401121,9065.026452,9296.005736,9592.111714,9808.846064,9892.64112
Caribbean small states,CSS,7353.240206,7449.71615,7667.936233,8052.747119,8314.885735,8566.189483,9089.439105,9320.983977,9376.574098,8986.029234,9059.000053,9100.464272,9161.572878,9184.309437,9188.321653,9230.446019,9007.870747,8977.060602,9038.953812
Cuba,CUB,3473.243494,3572.396058,3613.136357,3741.206408,3949.347798,4385.002479,4908.879332,5261.896726,5475.581071,5550.705973,5676.141403,5824.103628,5985.201531,6133.473727,6182.773703,6444.968288,6469.866718,6580.294459,
Curacao,CUW,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,26688.02901,27445.46126,28142.863,28532.24862,29568.20188,30559.84628,31470.92463,32378.57011,32727.13533,31218.2071,30818.47993,30163.31394,28852.20151,27242.22836,27182.50243,27874.15831,29081.8161,30031.73599,30926.45172
Czech Republic,CZE,14806.58347,15294.62929,15577.3922,16143.26364,16930.1897,18011.3867,19193.75482,20151.17812,20520.77996,19424.27306,19808.07109,20118.58781,19929.76407,19826.79194,20343.68375,21381.70308,21863.64166,22754.7526,23344.16853
Germany,DEU,37998.42531,38577.72563,38512.92004,38218.34965,38673.88811,38969.3217,40456.85738,41831.86709,42365.0975,40086.10476,41785.55691,44125.33141,44259.25991,44354.73689,45132.27363,45521.31928,46167.83078,46971.40763,47501.81265
Djibouti,DJI,,,,,,,,,,,1325.990724,,,,,,,,
Dominica,DMA,5576.723541,5573.7012,5404.082668,5725.367972,5876.05544,5893.847449,6152.746733,6530.488651,6983.303106,6886.596951,6912.435714,6870.239502,6766.739598,6692.547956,6949.991038,6737.18398,6871.31563,6184.337832,6416.921969
Denmark,DNK,55850.63643,56108.96272,56190.81452,56256.76761,57608.73489,58792.67138,60892.76661,61174.54515,60504.7753,57229.05164,58041.41122,58575.61892,58487.78637,58788.08179,59437.9339,60402.13322,61370.78571,62356.75171,62888.72719
Dominican Republic,DOM,4017.431169,4052.581492,4169.945552,4051.683137,4094.076257,4414.812085,4751.041363,5031.953697,5122.22509,5101.216752,5453.926861,5552.395627,5631.468069,5833.435171,6203.725971,6562.767094,6917.604944,7153.078718,7750.933656
Algeria,DZA,3541.072037,3600.437254,3754.516275,3974.175032,4091.144235,4273.312751,4282.328231,4359.375748,4390.499633,4386.038896,4463.394675,4504.920098,4564.435017,4596.219627,4675.885024,4759.595242,4827.724251,4820.434064,4815.570527
East Asia & Pacific (excluding high income),EAP,1821.967003,1926.088016,2059.061193,2219.858057,2398.609496,2610.674116,2869.772319,3195.165712,3439.580345,3677.877058,4008.912012,4317.142412,4607.848006,4903.599373,5197.23039,5495.207019,5800.793368,6137.949311,6470.431562
Early-demographic dividend,EAR,2283.645844,2266.155342,2263.200011,2332.213032,2448.427619,2556.604441,2670.740872,2783.33236,2835.06429,2809.719403,2937.735341,3037.854782,3120.304224,3207.734698,3289.557447,3394.967784,3509.468194,3625.593659,3732.285934
East Asia & Pacific,EAS,5350.902274,5445.231816,5594.42686,5786.387852,6037.873073,6295.745865,6596.059772,6973.397768,7168.074889,7218.376866,7676.519264,7977.521112,8294.531995,8629.775941,8924.8739,9234.116093,9547.811961,9915.469115,10259.49724
