month_year,region,country,visitor_count
2000-01,Southeast Asia,Brunei Darussalam,4138
2000-01,Southeast Asia,Indonesia,149528
2000-01,Southeast Asia,Malaysia,41261
2000-01,Southeast Asia,Myanmar,1479
2000-01,Southeast Asia,Philippines,11809
2000-01,Southeast Asia,Thailand,15792
2000-01,Southeast Asia,Vietnam,1698
2000-01,Southeast Asia,Other Markets In Southeast Asia,
2000-01,Greater China,China,38887
2000-01,Greater China,Hong Kong SAR,16288
2000-01,Greater China,Taiwan,19329
2000-01,Greater China,Other Markets In Greater China,
2000-01,North Asia,Japan,72131
2000-01,North Asia,South Korea,32621
2000-01,North Asia,Other Markets In North Asia,
2000-01,South Asia,Bangladesh,3063
2000-01,South Asia,India,22301
2000-01,South Asia,Pakistan,2598
2000-01,South Asia,Sri Lanka,4136
2000-01,South Asia,Other Markets In South Asia,1828
2000-01,West Asia,Iran,441
2000-01,West Asia,Israel,
2000-01,West Asia,Kuwait,549
2000-01,West Asia,Saudi Arabia,1441
2000-01,West Asia,United Arab Emirates,1445
2000-01,West Asia,Other Markets In West Asia,
2000-01,Americas,Canada,6544
2000-01,Americas,USA,29748
2000-01,Americas,Other Markets In Americas,
2000-01,Europe,Belgium & Luxembourg,1802
2000-01,Europe,Denmark,2083
2000-01,Europe,Finland,1998
2000-01,Europe,France,5683
2000-01,Europe,Germany,15655
2000-01,Europe,Italy,4012
2000-01,Europe,Netherlands,6145
2000-01,Europe,Norway,1945
2000-01,Europe,Rep Of Ireland,
2000-01,Europe,Russian Federation,
2000-01,Europe,Spain,1015
2000-01,Europe,Sweden,4408
2000-01,Europe,Switzerland,4174
2000-01,Europe,United Kingdom,33617
2000-01,Europe,Other Markets In Europe,
2000-01,Oceania,Australia,42006
2000-01,Oceania,New Zealand,5728
2000-01,Oceania,Other Markets In Oceania,1030
2000-01,Africa,Egypt,
2000-01,Africa,Mauritius,
2000-01,Africa,South Africa (Rep Of),
2000-01,Africa,Other Markets In Africa,
2000-02,Southeast Asia,Brunei Darussalam,3538
2000-02,Southeast Asia,Indonesia,88342
2000-02,Southeast Asia,Malaysia,42072
2000-02,Southeast Asia,Myanmar,1525
2000-02,Southeast Asia,Philippines,13111
2000-02,Southeast Asia,Thailand,16981
2000-02,Southeast Asia,Vietnam,3073
2000-02,Southeast Asia,Other Markets In Southeast Asia,
2000-02,Greater China,China,45148
2000-02,Greater China,Hong Kong SAR,28265
2000-02,Greater China,Taiwan,30528
2000-02,Greater China,Other Markets In Greater China,
2000-02,North Asia,Japan,71245
2000-02,North Asia,South Korea,28932
2000-02,North Asia,Other Markets In North Asia,
2000-02,South Asia,Bangladesh,2655
2000-02,South Asia,India,21597
2000-02,South Asia,Pakistan,2944
2000-02,South Asia,Sri Lanka,4256
2000-02,South Asia,Other Markets In South Asia,1450
2000-02,West Asia,Iran,393
2000-02,West Asia,Israel,
2000-02,West Asia,Kuwait,205
2000-02,West Asia,Saudi Arabia,680
2000-02,West Asia,United Arab Emirates,958
2000-02,West Asia,Other Markets In West Asia,
2000-02,Americas,Canada,7412
2000-02,Americas,USA,33919
2000-02,Americas,Other Markets In Americas,
2000-02,Europe,Belgium & Luxembourg,1875
2000-02,Europe,Denmark,2564
2000-02,Europe,Finland,1613
2000-02,Europe,France,7644
2000-02,Europe,Germany,15951
2000-02,Europe,Italy,3335
2000-02,Europe,Netherlands,6464
2000-02,Europe,Norway,2234
2000-02,Europe,Rep Of Ireland,
2000-02,Europe,Russian Federation,
2000-02,Europe,Spain,843
2000-02,Europe,Sweden,4695
2000-02,Europe,Switzerland,4588
2000-02,Europe,United Kingdom,40845
2000-02,Europe,Other Markets In Europe,
2000-02,Oceania,Australia,30932
2000-02,Oceania,New Zealand,4447
2000-02,Oceania,Other Markets In Oceania,917
2000-02,Africa,Egypt,
2000-02,Africa,Mauritius,
2000-02,Africa,South Africa (Rep Of),
2000-02,Africa,Other Markets In Africa,
2000-03,Southeast Asia,Brunei Darussalam,3628
2000-03,Southeast Asia,Indonesia,102620
2000-03,Southeast Asia,Malaysia,43849
2000-03,Southeast Asia,Myanmar,1790
2000-03,Southeast Asia,Philippines,16490
2000-03,Southeast Asia,Thailand,22217
2000-03,Southeast Asia,Vietnam,2457
2000-03,Southeast Asia,Other Markets In Southeast Asia,
2000-03,Greater China,China,30644
2000-03,Greater China,Hong Kong SAR,21513
2000-03,Greater China,Taiwan,22934
2000-03,Greater China,Other Markets In Greater China,
2000-03,North Asia,Japan,91844
2000-03,North Asia,South Korea,30682
2000-03,North Asia,Other Markets In North Asia,
2000-03,South Asia,Bangladesh,3112
2000-03,South Asia,India,23847
2000-03,South Asia,Pakistan,2950
2000-03,South Asia,Sri Lanka,4531
2000-03,South Asia,Other Markets In South Asia,1401
2000-03,West Asia,Iran,1475
2000-03,West Asia,Israel,
2000-03,West Asia,Kuwait,406
2000-03,West Asia,Saudi Arabia,1754
2000-03,West Asia,United Arab Emirates,1577
2000-03,West Asia,Other Markets In West Asia,
2000-03,Americas,Canada,7808
2000-03,Americas,USA,36707
2000-03,Americas,Other Markets In Americas,
2000-03,Europe,Belgium & Luxembourg,1881
2000-03,Europe,Denmark,2366
2000-03,Europe,Finland,1620
2000-03,Europe,France,6592
2000-03,Europe,Germany,16300
2000-03,Europe,Italy,3137
2000-03,Europe,Netherlands,6453
2000-03,Europe,Norway,2343
2000-03,Europe,Rep Of Ireland,
2000-03,Europe,Russian Federation,
2000-03,Europe,Spain,1119
2000-03,Europe,Sweden,4565
