country_code,comm_lang,distw_km
ABW,1,18355.23
AFG,0,5248.137
AGO,0,10046.3
AIA,1,17433.05
ALB,0,9420.047
AND,0,10925.04
ANT,1,18220.42
ARE,0,5843.977
ARG,0,16120.1
ARM,0,7360.448
ATG,1,17456.16
AUS,1,5893.497
AUT,0,9808.072
AZE,0,7029.737
BDI,0,8273.867
BEL,0,10570.75
BEN,0,11270.55
BFA,0,11728.62
BGD,0,2874.279
BGR,0,9015.215
BHR,0,6329.947
BHS,1,17064.62
BIH,0,9589.317
BLR,0,8973.029
BLZ,1,17545.91
BMU,1,16100.22
BOL,0,17907.48
BRA,0,16065.5
BRB,1,17602.47
BRN,1,1264.269
BTN,0,3250.023
BWA,1,8821.57
CAF,0,9491.856
CAN,1,14394.1
CCK,1,.
CHE,0,10375.44
CHL,0,16432.16
CHN,1,4097.429
CIV,0,12048.2
CMR,1,10268.94
COG,0,9996.217
COK,1,10739.3
COL,0,19209.43
COM,0,6807.614
CPV,0,14000.15
CRI,0,18495.13
CUB,0,17397.73
CXR,1,.
CYM,1,17670.63
CYP,0,8168.415
CZE,0,9785.052
DEU,0,10180.76
DJI,0,6798.842
DMA,1,17565.63
DNK,0,10051.39
DOM,0,17706.14
DZA,0,10876.35
ECU,0,19650.13
EGY,1,8286.962
ERI,1,7241.108
ESH,0,12641.92
ESP,0,11336.64
EST,0,9225.796
ETH,1,7247.241
FIN,0,9304.872
FJI,1,8411.843
FLK,1,14161.4
FRA,0,10734.97
FRO,0,10945.98
FSM,1,5495.656
GAB,0,10445.39
GBR,1,10917.7
GEO,0,7488.001
GHA,1,11606.27
GIB,1,11642.34
GIN,0,12900.53
GLP,0,17507.03
GMB,1,13238.32
GNB,0,13171.1
GNQ,0,10501.59
GRC,0,9085.727
GRD,1,17844.23
GRL,0,12234.02
GTM,0,17641.58
GUF,0,17347.36
GUY,1,17844.38
HKG,1,2593.055
HND,0,17827.39
HRV,0,9726.488
HTI,0,17769.83
HUN,0,9504.424
IDN,1,1012.916
IND,1,3742.252
IRL,1,11265.83
IRN,0,6562.233
IRQ,0,7104.523
ISL,0,11499.92
ISR,1,7963.227
ITA,0,10070.96
JAM,1,17876.86
JOR,1,7868.603
JPN,0,5167.93
KAZ,0,6088.273
KEN,1,7437.043
KGZ,0,5430.706
KHM,0,1184.485
KIR,1,7829.53
KNA,1,17064.23
KOR,1,4632.103
KWT,1,6672.034
LAO,0,1860.576
LBN,1,7941.567
LBR,1,12672.9
LBY,0,9745.449
LCA,1,17647.91
LKA,0,2719.677
LSO,1,8752.969
LTU,0,9262.053
LUX,0,10467.63
LVA,0,9264.559
MAC,1,.
MAR,0,11834.11
MDA,0,8784.054
MDG,0,6561.008
MDV,0,3410.839
MEX,0,16243.44
MHL,1,7365.028
MKD,0,9284.716
MLI,0,12253.94
MLT,1,9876.24
MMR,0,2053.155
MNG,0,5192.74
MNP,1,4846.106
MOZ,0,7876.197
MRT,0,12984.86
MSR,1,.
MTQ,0,17599.79
MUS,1,5589.156
MWI,1,7841.842
MYS,1,505.5376
NAM,1,9735.146
NCL,0,7243.538
NER,0,10931.57
NFK,1,7603.814
NGA,1,10896.54
NIC,0,18154.53
NIU,1,9670.955
NLD,0,10496.78
NOR,0,10124.02
NPL,0,3565.344
NRU,1,7021.069
NZL,1,8461.287
OMN,0,5565.842
PAK,1,4708.465
PAL,0,7970.045
PAN,0,18813.1
PCN,1,.
PER,0,18884.5
PHL,1,2406.19
PLW,1,3465.119
PNG,1,4904.869
POL,0,9523.885
PRI,1,17595.08
PRK,0,4837.288
PRT,0,11894.69
PRY,0,16660.39
PYF,0,11812.98
QAT,0,6218.175
REU,0,5821.889
ROM,0,9009.175
RUS,0,7858.916
RWA,1,8236.316
SAU,0,6978.26
SDN,0,8010.912
SEN,0,13277.02
SGP,0,9.559828
SHN,1,12419.89
SLB,1,6306.523
SLE,1,12904.13
SLV,0,17832.52
SMR,0,10027.83
SOM,1,6567.16
SPM,0,14333.34
STP,0,10814.09
SUR,0,17481.67
SVK,0,9531.329
SVN,0,9840.634
SWE,0,9782.643
SWZ,1,8341.25
SYC,1,5420.719
SYR,0,7830.987
TCA,1,17441.92
TCD,0,9730.162
TGO,0,11396.16
THA,0,1435.705
TJK,0,5467.599
TKL,1,9451.244
TKM,0,6160.844
TMP,0,2661.717
TON,1,9145.693
TTO,1,17942.12
TUN,0,10254.97
TUR,0,8384.91
TUV,0,8345.042
TWN,1,3155.286
TZA,1,7489.52
UGA,1,7948.249
UKR,0,8508.251
URY,0,15828.84
USA,1,15122.62
UZB,0,5667.125
VCT,1,17729.21
VEN,0,18446.06
VGB,1,17498.35
VNM,0,1480.831
VUT,1,7319.513
WLF,0,8967.907
WSM,1,9437.161
YEM,0,6691.095
YUG,0,9379.908
ZAF,1,8844.282
ZAR,0,9349.265
ZMB,1,8489.021
ZWE,1,8327.568
